Tile,Animal,Genotype,Layer,Stub,Section ID,Area_um_sq,Major Length um,Minor Length um,Feret diam um,Aspect Ratio,Perimeter um,Count,Total_mito_Area_um_sq
MCC274-B_stub4dot_redo_Proximal_Tile_017-008.tif,MCC274,MCC Cre +,Proximal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.17,0.59,0.36,0.6,1.75,1.81,8,1.35
MCC274-B_stub4dot_redo_Proximal_Tile_018-002.tif,MCC274,MCC Cre +,Proximal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.2,0.67,0.36,0.7,1.95,2.04,6,1.21
MCC274-B_stub4dot_redo_Proximal_Tile_018-010.tif,MCC274,MCC Cre +,Proximal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.17,0.62,0.32,0.63,1.94,1.82,9,1.51
MCC274-B_stub4dot_redo_Proximal_Tile_019-004.tif,MCC274,MCC Cre +,Proximal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.23,0.64,0.41,0.67,1.59,2.06,8,1.85
MCC274-B_stub4dot_redo_Proximal_Tile_019-012.tif,MCC274,MCC Cre +,Proximal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.3,1.09,0.38,1.07,3.22,2.92,8,2.41
MCC274-B_stub4dot_redo_Proximal_Tile_020-006.tif,MCC274,MCC Cre +,Proximal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.26,0.9,0.38,0.89,2.32,2.47,11,2.89
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_001-008.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.25,0.84,0.39,0.85,2.2,2.47,10,2.53
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_002-002.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.22,0.7,0.38,0.71,1.97,2.11,15,3.23
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_002-010.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.3,0.96,0.4,0.97,2.7,2.64,16,4.88
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_003-004.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.2,0.73,0.35,0.74,2.33,2.11,12,2.44
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_003-012.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.26,0.85,0.35,0.85,2.38,2.41,18,4.68
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_004-006.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.25,0.95,0.32,0.96,3.69,2.54,16,3.97
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_004-014.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.18,0.66,0.32,0.67,2.75,1.93,13,2.31
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_005-008.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.22,0.67,0.41,0.69,1.68,2.12,18,3.98
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_006-002.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.16,0.57,0.33,0.58,1.82,1.75,16,2.49
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_006-010.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.29,0.87,0.4,0.87,2.26,2.49,20,5.89
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_007-004.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.24,0.87,0.34,0.87,2.89,2.4,12,2.93
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_007-012.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.34,0.99,0.39,1.0,2.49,2.77,18,6.07
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_008-006.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.34,1.07,0.39,1.09,2.49,2.93,12,4.14
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_008-014.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.3,1.03,0.37,0.99,2.8,2.72,23,6.82
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_009-008.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.27,0.98,0.34,0.99,3.03,2.64,14,3.72
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_010-002.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.29,1.08,0.34,1.05,2.72,2.79,17,4.99
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_010-010.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.26,0.91,0.36,0.9,2.66,2.54,16,4.14
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_011-004.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.19,0.62,0.36,0.64,1.77,1.88,17,3.25
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_011-012.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.21,0.71,0.34,0.71,2.25,2.06,28,5.77
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_012-006.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.32,0.96,0.4,0.99,2.35,2.78,13,4.18
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_012-014.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.26,0.84,0.38,0.83,2.31,2.38,21,5.42
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_013-008.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.22,0.69,0.37,0.71,1.85,2.08,19,4.12
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_014-002.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.26,1.06,0.34,1.03,3.11,2.83,16,4.2
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_014-010.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.24,0.85,0.37,0.83,2.31,2.38,18,4.37
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_015-004.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.17,0.68,0.32,0.68,2.33,2.02,14,2.39
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_015-012.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.24,0.83,0.34,0.82,2.52,2.44,30,7.1
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_018-002.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.28,0.97,0.34,0.95,2.75,2.62,19,5.24
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_018-010.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.24,0.87,0.34,0.87,2.62,2.4,19,4.56
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_019-004.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.35,1.16,0.37,1.15,3.18,3.17,23,7.99
MCC274-B_stub4dot_redo_reimaged_Distal_Tile_019-012.tif,MCC274,MCC Cre +,Distal,Stub 4 dot redo,MCC274_Stub 4 dot redo,0.3,0.91,0.41,0.9,2.32,2.56,23,6.88
MCC276-A_stub5dot_Basal_Tile_001-008.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.27,0.71,0.41,0.75,1.71,2.18,8,2.2
MCC276-A_stub5dot_Basal_Tile_002-002.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.23,0.69,0.41,0.71,2.03,2.12,8,1.83
MCC276-A_stub5dot_Basal_Tile_002-010.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.2,0.69,0.35,0.7,2.11,2.03,8,1.61
MCC276-A_stub5dot_Basal_Tile_003-004.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.25,0.84,0.4,0.82,2.54,2.41,5,1.27
MCC276-A_stub5dot_Basal_Tile_005-008.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.22,0.76,0.39,0.77,1.97,2.28,11,2.38
MCC276-A_stub5dot_Basal_Tile_006-002.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.25,0.71,0.36,0.71,2.13,2.06,9,2.29
MCC276-A_stub5dot_Basal_Tile_006-010.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.27,0.8,0.43,0.79,1.85,2.39,9,2.44
MCC276-A_stub5dot_Basal_Tile_007-004.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.29,0.88,0.45,0.86,2.13,2.63,6,1.74
MCC276-A_stub5dot_Basal_Tile_008-006.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.19,0.75,0.32,0.74,2.19,2.17,12,2.3
MCC276-A_stub5dot_Basal_Tile_009-008.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.2,0.62,0.4,0.64,1.69,1.97,10,1.98
MCC276-A_stub5dot_Basal_Tile_010-002.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.21,0.59,0.41,0.61,1.5,1.91,9,1.88
MCC276-A_stub5dot_Basal_Tile_011-004.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.19,0.71,0.34,0.7,2.34,2.04,8,1.51
MCC276-A_stub5dot_Basal_Tile_012-006.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.19,0.61,0.37,0.62,1.84,1.88,20,3.84
MCC276-A_stub5dot_Basal_Tile_013-008.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.2,0.76,0.31,0.74,2.35,2.14,12,2.37
MCC276-A_stub5dot_Basal_Tile_014-002.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.23,0.85,0.33,0.83,2.66,2.25,12,2.77
MCC276-A_stub5dot_Basal_Tile_014-010.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.27,0.76,0.45,0.78,1.7,2.36,10,2.72
MCC276-A_stub5dot_Basal_Tile_015-004.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.2,0.61,0.39,0.61,1.53,1.88,7,1.37
MCC276-A_stub5dot_Basal_Tile_016-006.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.25,0.85,0.37,0.83,2.25,2.41,13,3.2
MCC276-A_stub5dot_Basal_Tile_017-008.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.16,0.65,0.32,0.65,2.04,1.87,7,1.12
MCC276-A_stub5dot_Basal_Tile_018-002.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.22,0.83,0.36,0.79,2.49,2.33,15,3.31
MCC276-A_stub5dot_Basal_Tile_019-004.tif,MCC276,MCC Cre -,Basal,Stub 5 dot,MCC276_Stub 5 dot,0.23,0.76,0.38,0.77,2.11,2.22,8,1.86
MCC276-A_stub5dot_Distal_Tile_001-008.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.19,0.79,0.3,0.8,2.6,2.2,23,4.42
MCC276-A_stub5dot_Distal_Tile_002-010.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.22,0.8,0.34,0.79,2.28,2.29,18,3.98
MCC276-A_stub5dot_Distal_Tile_003-004.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.18,0.72,0.29,0.73,2.43,2.07,17,2.98
MCC276-A_stub5dot_Distal_Tile_003-012.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.22,0.78,0.35,0.78,2.36,2.26,25,5.5
MCC276-A_stub5dot_Distal_Tile_004-006.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.22,0.77,0.34,0.77,2.28,2.22,26,5.69
MCC276-A_stub5dot_Distal_Tile_004-014.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.27,1.05,0.32,1.04,3.13,2.83,23,6.32
MCC276-A_stub5dot_Distal_Tile_005-008.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.28,1.13,0.32,1.07,3.23,2.9,16,4.51
MCC276-A_stub5dot_Distal_Tile_006-002.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.2,0.66,0.36,0.67,1.91,1.97,10,2.0
MCC276-A_stub5dot_Distal_Tile_006-010.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.18,0.7,0.32,0.71,2.29,2.0,24,4.29
MCC276-A_stub5dot_Distal_Tile_007-004.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.19,0.76,0.27,0.75,2.68,2.06,18,3.43
MCC276-A_stub5dot_Distal_Tile_007-012.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.23,0.79,0.35,0.79,2.21,2.26,24,5.46
MCC276-A_stub5dot_Distal_Tile_008-006.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.32,0.98,0.37,0.97,2.54,2.69,18,5.73
MCC276-A_stub5dot_Distal_Tile_009-008.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.23,0.76,0.36,0.77,2.11,2.21,22,4.95
MCC276-A_stub5dot_Distal_Tile_010-002.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.24,0.89,0.36,0.88,2.47,2.53,12,2.9
MCC276-A_stub5dot_Distal_Tile_010-010.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.18,0.76,0.3,0.77,3.07,2.1,17,3.1
MCC276-A_stub5dot_Distal_Tile_011-004.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.17,0.61,0.3,0.63,2.05,1.79,20,3.44
MCC276-A_stub5dot_Distal_Tile_011-012.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.21,0.83,0.32,0.84,2.54,2.27,20,4.3
MCC276-A_stub5dot_Distal_Tile_012-006.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.22,0.72,0.35,0.73,2.29,2.08,24,5.2
MCC276-A_stub5dot_Distal_Tile_012-014.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.25,0.85,0.36,0.84,2.39,2.38,29,7.19
MCC276-A_stub5dot_Distal_Tile_013-008.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.24,0.81,0.36,0.82,2.23,2.32,24,5.78
MCC276-A_stub5dot_Distal_Tile_014-002.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.2,0.79,0.35,0.78,2.59,2.23,13,2.57
MCC276-A_stub5dot_Distal_Tile_014-010.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.25,0.81,0.38,0.82,2.17,2.32,14,3.56
MCC276-A_stub5dot_Distal_Tile_015-004.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.19,0.67,0.32,0.68,2.12,1.96,15,2.81
MCC276-A_stub5dot_Distal_Tile_015-012.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.18,0.63,0.33,0.63,1.79,1.88,16,2.95
MCC276-A_stub5dot_Distal_Tile_017-008.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.21,0.72,0.36,0.74,2.02,2.1,13,2.78
MCC276-A_stub5dot_Distal_Tile_018-002.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.12,0.52,0.27,0.53,1.92,1.55,12,1.42
MCC276-A_stub5dot_Distal_Tile_018-010.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.18,0.67,0.33,0.68,2.12,1.96,23,4.21
MCC276-A_stub5dot_Distal_Tile_019-004.tif,MCC276,MCC Cre -,Distal,Stub 5 dot,MCC276_Stub 5 dot,0.2,0.74,0.32,0.74,2.5,2.07,15,3.04
MCC276-A_stub5dot_Proximal_Tile_001-008.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.19,0.7,0.33,0.7,2.18,1.98,12,2.27
MCC276-A_stub5dot_Proximal_Tile_002-002.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.17,0.65,0.33,0.65,2.09,1.91,11,1.91
MCC276-A_stub5dot_Proximal_Tile_003-012.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.1,0.47,0.27,0.48,1.67,1.45,9,0.94
MCC276-A_stub5dot_Proximal_Tile_004-006.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.17,0.72,0.29,0.72,2.5,2.04,14,2.43
MCC276-A_stub5dot_Proximal_Tile_004-014.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.16,0.7,0.28,0.69,2.43,1.96,21,3.37
MCC276-A_stub5dot_Proximal_Tile_005-008.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.23,0.82,0.37,0.81,2.36,2.38,7,1.63
MCC276-A_stub5dot_Proximal_Tile_006-002.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.19,0.7,0.35,0.72,2.24,2.03,7,1.32
MCC276-A_stub5dot_Proximal_Tile_006-010.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.18,0.74,0.29,0.75,2.46,2.05,15,2.72
MCC276-A_stub5dot_Proximal_Tile_007-012.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.14,0.63,0.27,0.62,2.28,1.77,19,2.72
MCC276-A_stub5dot_Proximal_Tile_008-006.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.22,0.72,0.39,0.75,1.88,2.17,13,2.8
MCC276-A_stub5dot_Proximal_Tile_008-014.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.19,0.67,0.34,0.67,2.01,1.98,15,2.82
MCC276-A_stub5dot_Proximal_Tile_009-008.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.4,1.41,0.37,1.33,3.59,3.47,8,3.19
MCC276-A_stub5dot_Proximal_Tile_010-002.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.15,0.58,0.31,0.59,1.94,1.73,18,2.63
MCC276-A_stub5dot_Proximal_Tile_011-004.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.13,0.51,0.3,0.52,1.69,1.57,8,1.01
MCC276-A_stub5dot_Proximal_Tile_011-012.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.12,0.53,0.29,0.53,1.82,1.6,15,1.84
MCC276-A_stub5dot_Proximal_Tile_012-006.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.22,0.82,0.35,0.8,2.4,2.26,11,2.37
MCC276-A_stub5dot_Proximal_Tile_012-014.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.21,0.76,0.33,0.74,2.18,2.15,13,2.76
MCC276-A_stub5dot_Proximal_Tile_013-008.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.14,0.62,0.28,0.61,2.34,1.75,12,1.72
MCC276-A_stub5dot_Proximal_Tile_014-002.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.21,0.77,0.37,0.75,2.31,2.23,6,1.26
MCC276-A_stub5dot_Proximal_Tile_014-010.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.15,0.6,0.32,0.59,1.82,1.83,15,2.25
MCC276-A_stub5dot_Proximal_Tile_015-004.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.11,0.54,0.27,0.55,2.04,1.57,10,1.14
MCC276-A_stub5dot_Proximal_Tile_015-012.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.22,0.84,0.33,0.83,2.65,2.34,9,1.98
MCC276-A_stub5dot_Proximal_Tile_016-006.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.18,0.76,0.31,0.77,2.69,2.12,13,2.29
MCC276-A_stub5dot_Proximal_Tile_016-014.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.12,0.55,0.27,0.54,2.05,1.57,14,1.61
MCC276-A_stub5dot_Proximal_Tile_017-008.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.11,0.51,0.28,0.51,1.87,1.52,17,1.92
MCC276-A_stub5dot_Proximal_Tile_018-002.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.14,0.55,0.3,0.55,1.89,1.65,8,1.14
MCC276-A_stub5dot_Proximal_Tile_018-010.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.13,0.61,0.27,0.61,2.31,1.74,10,1.32
MCC276-A_stub5dot_Proximal_Tile_019-004.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.17,0.76,0.29,0.73,2.51,2.05,12,2.06
MCC276-A_stub5dot_Proximal_Tile_019-012.tif,MCC276,MCC Cre -,Proximal,Stub 5 dot,MCC276_Stub 5 dot,0.25,0.8,0.4,0.8,2.07,2.32,7,1.78
MCC276-A_stub6_Basal_Tile_001-008.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.32,0.72,0.56,0.75,1.29,2.42,5,1.59
MCC276-A_stub6_Basal_Tile_002-002.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.21,0.62,0.41,0.63,1.59,1.97,9,1.89
MCC276-A_stub6_Basal_Tile_003-004.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.25,0.66,0.45,0.68,1.46,2.12,12,3.06
MCC276-A_stub6_Basal_Tile_003-012.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.21,0.63,0.35,0.65,1.72,1.9,6,1.23
MCC276-A_stub6_Basal_Tile_004-006.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.23,0.61,0.43,0.64,1.44,2.01,8,1.83
MCC276-A_stub6_Basal_Tile_005-008.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.19,0.54,0.37,0.55,1.47,1.74,10,1.87
MCC276-A_stub6_Basal_Tile_006-002.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.22,0.75,0.36,0.74,2.17,2.14,15,3.37
MCC276-A_stub6_Basal_Tile_007-004.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.21,0.71,0.38,0.71,1.89,2.12,8,1.69
MCC276-A_stub6_Basal_Tile_008-006.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.28,0.9,0.42,0.93,2.27,2.59,6,1.68
MCC276-A_stub6_Basal_Tile_008-014.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.11,0.55,0.28,0.54,2.19,1.56,5,0.57
MCC276-A_stub6_Basal_Tile_009-008.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.14,0.54,0.31,0.56,1.77,1.64,6,0.84
MCC276-A_stub6_Basal_Tile_011-004.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.29,0.64,0.48,0.66,1.5,2.14,5,1.44
MCC276-A_stub6_Basal_Tile_012-006.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.36,0.81,0.5,0.82,1.58,2.51,9,3.21
MCC276-A_stub6_Basal_Tile_014-002.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.2,0.67,0.38,0.67,2.03,2.01,14,2.85
MCC276-A_stub6_Basal_Tile_014-010.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.22,0.88,0.34,0.86,2.69,2.48,7,1.56
MCC276-A_stub6_Basal_Tile_015-004.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.38,1.27,0.42,1.19,3.34,3.14,6,2.28
MCC276-A_stub6_Basal_Tile_016-006.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.27,0.74,0.45,0.75,1.66,2.32,7,1.87
MCC276-A_stub6_Basal_Tile_017-008.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.15,0.59,0.33,0.6,1.95,1.77,10,1.49
MCC276-A_stub6_Basal_Tile_018-002.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.3,0.73,0.47,0.75,1.63,2.44,13,3.87
MCC276-A_stub6_Basal_Tile_018-010.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.43,1.22,0.43,1.15,2.41,3.3,8,3.46
MCC276-A_stub6_Basal_Tile_019-004.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.27,0.7,0.45,0.71,1.65,2.18,6,1.6
MCC276-A_stub6_Basal_Tile_020-006.tif,MCC276,MCC Cre -,Basal,Stub 6,MCC276_Stub 6,0.24,0.61,0.4,0.62,1.61,1.96,7,1.68
MCC276-A_stub6_Distal_Tile_001-008.tif,MCC276,MCC Cre -,Distal,Stub 6,MCC276_Stub 6,0.31,1.06,0.38,1.05,2.83,2.85,18,5.57
MCC276-A_stub6_Distal_Tile_002-002.tif,MCC276,MCC Cre -,Distal,Stub 6,MCC276_Stub 6,0.21,0.79,0.32,0.79,2.45,2.17,21,4.38
MCC276-A_stub6_Distal_Tile_002-010.tif,MCC276,MCC Cre -,Distal,Stub 6,MCC276_Stub 6,0.24,0.85,0.33,0.85,2.58,2.39,15,3.54
