Object ID,Animal,Subregion,Layer,Stub,Tile,Den_Length_um,Den_Width_um,Den_Area_um_sq,Dendrite_ID,Mito_IDs,Mean_mito_area,Mito_total_area,Mito_total_len,N_mitos,Total_mito_area_per_den_area,Total_mito_len_per_den_len
21,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_006-005.tif,1.17541,0.9742999999999999,0.7731199999999999,21,"['18', '29']",0.168512,0.337024,0.846894,2,0.4359271523178808,0.7205094392594924
26,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_006-005.tif,1.281326,0.8308719999999999,0.710336,26,['27'],0.342336,0.342336,0.8981760000000001,1,0.4819353094873412,0.7009738349178898
3,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_006-001.tif,1.575376,0.856336,0.9721599999999999,3,['8'],0.09727999999999999,0.09727999999999999,0.400524,1,0.10006583278472679,0.25424025756390856
9,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_006-001.tif,3.2018000000000004,0.8006620000000001,1.74752,9,['18'],0.15711999999999998,0.15711999999999998,0.578218,1,0.08991027284380149,0.18059154225748014
12,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_006-001.tif,3.018822,1.02534,1.835392,12,['2'],0.27232,0.27232,0.665924,1,0.14837157402887233,0.22059068073573068
21,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_006-001.tif,1.228112,0.740518,0.637824,21,['20'],0.124928,0.124928,0.436716,1,0.19586594421031508,0.35559948929739305
7,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_004-004.tif,0.987484,0.7451920000000001,0.5640959999999999,7,['4'],0.077888,0.077888,0.38463400000000003,1,0.1380757885182664,0.38950909584357823
16,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_004-004.tif,3.872348,0.80967,1.63744,16,['18'],0.09504,0.09504,0.5949679999999999,1,0.05804182137971468,0.1536452818806574
20,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_004-004.tif,2.0650239999999997,1.463864,1.742848,20,['21'],0.20479999999999998,0.20479999999999998,0.880938,1,0.11750881316098706,0.42659940029752685
26,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_004-004.tif,5.0842979999999995,1.236802,3.7953919999999997,26,['19'],0.55904,0.55904,1.128114,1,0.1472944033185505,0.221881958925303
4,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_004-002.tif,2.078794,0.942526,1.425344,4,['6'],0.443264,0.443264,1.317186,1,0.3109873826949845,0.6336298834805181
5,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_004-002.tif,3.8267040000000003,1.4908,3.4344319999999997,5,"['2', '22']",0.116096,0.232192,1.106174,2,0.06760710359092859,0.2890670404609293
7,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_004-002.tif,1.227422,0.9073640000000001,0.78784,7,['3'],0.471808,0.471808,0.853756,1,0.5988627132412673,0.6955684353058686
10,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_004-002.tif,2.5359360000000004,0.5188360000000001,0.936384,10,['14'],0.293888,0.293888,1.184568,1,0.31385414530790784,0.4671127347062386
20,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_004-002.tif,1.723908,0.789004,1.024576,20,"['1', '8']",0.267648,0.535296,1.3979840000000001,2,0.5224561184333812,0.8109388668072774
29,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_004-002.tif,0.977338,0.759312,0.496832,29,['31'],0.125056,0.125056,0.4728,1,0.2517068143758856,0.4837630379663944
35,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_004-002.tif,1.144966,0.8915080000000001,0.713344,35,['30'],0.363328,0.363328,0.8122659999999999,1,0.5093307015969855,0.7094236859435127
40,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_004-002.tif,1.6706980000000002,0.844572,0.819136,40,['36'],0.30380799999999997,0.30380799999999997,0.660212,1,0.37088835065239467,0.3951713595156036
2,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_002-003.tif,1.778162,0.6714220000000001,0.7056,2,['3'],0.26739199999999996,0.26739199999999996,0.797258,1,0.37895691609977317,0.44836072303873326
11,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_002-003.tif,1.7869220000000001,0.622904,0.8467199999999999,11,['20'],0.129344,0.129344,0.780236,1,0.1527588813303099,0.43663685376306294
13,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_002-003.tif,2.000848,1.4517039999999999,2.1226879999999997,13,['9'],0.604416,0.604416,1.2241579999999999,1,0.2847408568758103,0.6118195884944783
16,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_002-003.tif,1.764206,1.331854,1.377792,16,['26'],0.39244799999999996,0.39244799999999996,0.900482,1,0.2848383500557414,0.5104177176588222
18,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_002-003.tif,4.655742,1.05004,3.645952,18,['1'],0.556672,0.556672,1.30584,1,0.15268220755511866,0.28047945955768167
19,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_002-003.tif,2.197832,0.282618,0.43385599999999996,19,['14'],0.09119999999999999,0.09119999999999999,0.832868,1,0.21020799527953976,0.3789498014406925
24,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_002-003.tif,2.1502800000000004,1.417676,1.4934399999999999,24,['23'],0.44511999999999996,0.44511999999999996,0.83296,1,0.298050139275766,0.38737280726231
27,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_002-003.tif,1.268108,0.633796,0.55328,27,['36'],0.0272,0.0272,0.234136,1,0.049161364950838636,0.1846341163370943
29,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_002-003.tif,1.5297280000000002,0.639792,0.721984,29,['25'],0.312896,0.312896,0.928694,1,0.4333835652867654,0.6070974709229352
