Layer,Area_um_sq,Group,Metric
Basal,0.17433599999999994,MCC Cre -,Area_um_sq
Basal,0.148608,MCC Cre -,Area_um_sq
Basal,0.14368,MCC Cre -,Area_um_sq
Basal,0.170816,MCC Cre -,Area_um_sq
Basal,0.1287039999999999,MCC Cre -,Area_um_sq
Basal,0.1504,MCC Cre -,Area_um_sq
Basal,0.120512,MCC Cre -,Area_um_sq
Basal,0.210816,MCC Cre -,Area_um_sq
Basal,0.2047999999999999,MCC Cre -,Area_um_sq
Basal,0.154304,MCC Cre -,Area_um_sq
Basal,0.151744,MCC Cre -,Area_um_sq
Basal,0.185024,MCC Cre -,Area_um_sq
Basal,0.1214079999999999,MCC Cre -,Area_um_sq
Basal,0.146208,MCC Cre -,Area_um_sq
Basal,0.167104,MCC Cre -,Area_um_sq
Basal,0.21888,MCC Cre -,Area_um_sq
Basal,0.197888,MCC Cre -,Area_um_sq
Basal,0.1504,MCC Cre -,Area_um_sq
Basal,0.1571199999999999,MCC Cre -,Area_um_sq
Basal,0.176896,MCC Cre -,Area_um_sq
Basal,0.14304,MCC Cre -,Area_um_sq
Basal,0.1539839999999999,MCC Cre -,Area_um_sq
Basal,0.17615999999999993,MCC Cre -,Area_um_sq
Basal,0.169984,MCC Cre -,Area_um_sq
Basal,0.212032,MCC Cre -,Area_um_sq
Basal,0.131904,MCC Cre -,Area_um_sq
Basal,0.171232,MCC Cre -,Area_um_sq
Basal,0.12121599999999991,MCC Cre -,Area_um_sq
Basal,0.167424,MCC Cre -,Area_um_sq
Basal,0.15583999999999998,MCC Cre -,Area_um_sq
Basal,0.175808,MCC Cre -,Area_um_sq
Basal,0.167232,MCC Cre -,Area_um_sq
Basal,0.1616,MCC Cre -,Area_um_sq
Basal,0.1376639999999999,MCC Cre -,Area_um_sq
Basal,0.1504,MCC Cre -,Area_um_sq
Basal,0.1943679999999999,MCC Cre -,Area_um_sq
Basal,0.132544,MCC Cre -,Area_um_sq
Basal,0.153408,MCC Cre -,Area_um_sq
Basal,0.149504,MCC Cre -,Area_um_sq
Basal,0.1429119999999999,MCC Cre -,Area_um_sq
Basal,0.13888,MCC Cre -,Area_um_sq
Basal,0.120512,MCC Cre -,Area_um_sq
Basal,0.174016,MCC Cre -,Area_um_sq
Basal,0.151744,MCC Cre -,Area_um_sq
Basal,0.146304,MCC Cre -,Area_um_sq
Basal,0.21888,MCC Cre -,Area_um_sq
Basal,0.1757439999999999,MCC Cre -,Area_um_sq
Basal,0.143712,MCC Cre -,Area_um_sq
Basal,0.1772159999999999,MCC Cre -,Area_um_sq
Basal,0.185024,MCC Cre -,Area_um_sq
Basal,0.124928,MCC Cre -,Area_um_sq
Basal,0.19008,MCC Cre -,Area_um_sq
Basal,0.124416,MCC Cre -,Area_um_sq
Basal,0.19552,MCC Cre -,Area_um_sq
Basal,0.1470719999999999,MCC Cre -,Area_um_sq
Basal,0.174976,MCC Cre -,Area_um_sq
Basal,0.149696,MCC Cre -,Area_um_sq
Basal,0.183552,MCC Cre -,Area_um_sq
Basal,0.193408,MCC Cre -,Area_um_sq
Basal,0.143296,MCC Cre -,Area_um_sq
Basal,0.1472,MCC Cre -,Area_um_sq
Basal,0.165184,MCC Cre -,Area_um_sq
Basal,0.181248,MCC Cre -,Area_um_sq
Basal,0.13408,MCC Cre -,Area_um_sq
Basal,0.1706879999999999,MCC Cre -,Area_um_sq
Basal,0.170816,MCC Cre -,Area_um_sq
Basal,0.17312,MCC Cre -,Area_um_sq
Basal,0.19059199999999998,MCC Cre -,Area_um_sq
Basal,0.224768,MCC Cre -,Area_um_sq
Basal,0.1575679999999999,MCC Cre -,Area_um_sq
Basal,0.124288,MCC Cre -,Area_um_sq
Basal,0.171904,MCC Cre -,Area_um_sq
Basal,0.1727999999999999,MCC Cre -,Area_um_sq
Basal,0.142624,MCC Cre -,Area_um_sq
Basal,0.171904,MCC Cre -,Area_um_sq
Basal,0.1437439999999999,MCC Cre -,Area_um_sq
Basal,0.1397759999999999,MCC Cre -,Area_um_sq
Basal,0.14816,MCC Cre -,Area_um_sq
Basal,0.121088,MCC Cre -,Area_um_sq
Basal,0.1615359999999999,MCC Cre -,Area_um_sq
Basal,0.1529599999999999,MCC Cre -,Area_um_sq
Basal,0.145088,MCC Cre -,Area_um_sq
Basal,0.17664,MCC Cre -,Area_um_sq
Basal,0.138752,MCC Cre -,Area_um_sq
Basal,0.1671679999999999,MCC Cre -,Area_um_sq
Basal,0.150304,MCC Cre -,Area_um_sq
Basal,0.1313919999999999,MCC Cre -,Area_um_sq
Basal,0.167296,MCC Cre -,Area_um_sq
Basal,0.200512,MCC Cre -,Area_um_sq
Basal,0.15808,MCC Cre -,Area_um_sq
Basal,0.176256,MCC Cre -,Area_um_sq
Basal,0.2160639999999999,MCC Cre -,Area_um_sq
Basal,0.1799039999999999,MCC Cre -,Area_um_sq
Basal,0.17056,MCC Cre -,Area_um_sq
Basal,0.2198399999999999,MCC Cre -,Area_um_sq
Basal,0.169216,MCC Cre -,Area_um_sq
Basal,0.104768,MCC Cre -,Area_um_sq
Basal,0.144128,MCC Cre -,Area_um_sq
Basal,0.157184,MCC Cre -,Area_um_sq
Basal,0.144128,MCC Cre -,Area_um_sq
Basal,0.14985599999999993,MCC Cre -,Area_um_sq
Basal,0.166144,MCC Cre -,Area_um_sq
Basal,0.150336,MCC Cre -,Area_um_sq
Basal,0.132288,MCC Cre -,Area_um_sq
Basal,0.181888,MCC Cre -,Area_um_sq
Basal,0.1504,MCC Cre -,Area_um_sq
Basal,0.174016,MCC Cre -,Area_um_sq
Basal,0.2280319999999999,MCC Cre -,Area_um_sq
Basal,0.17392,MCC Cre -,Area_um_sq
Basal,0.1529599999999999,MCC Cre -,Area_um_sq
Basal,0.204736,MCC Cre -,Area_um_sq
Basal,0.178304,MCC Cre -,Area_um_sq
Basal,0.137856,MCC Cre -,Area_um_sq
Basal,0.13888,MCC Cre -,Area_um_sq
Basal,0.198592,MCC Cre -,Area_um_sq
Basal,0.1575679999999999,MCC Cre -,Area_um_sq
Basal,0.12768,MCC Cre -,Area_um_sq
Basal,0.164608,MCC Cre -,Area_um_sq
Basal,0.18028799999999995,MCC Cre -,Area_um_sq
Basal,0.1849599999999999,MCC Cre -,Area_um_sq
Basal,0.201984,MCC Cre -,Area_um_sq
Basal,0.2094079999999999,MCC Cre -,Area_um_sq
Basal,0.17228799999999989,MCC Cre -,Area_um_sq
Basal,0.167424,MCC Cre -,Area_um_sq
Basal,0.174016,MCC Cre -,Area_um_sq
Basal,0.135232,MCC Cre -,Area_um_sq
Basal,0.210752,MCC Cre -,Area_um_sq
Basal,0.14656,MCC Cre -,Area_um_sq
Basal,0.15321599999999996,MCC Cre -,Area_um_sq
Basal,0.161984,MCC Cre -,Area_um_sq
Basal,0.1568,MCC Cre -,Area_um_sq
Basal,0.1353599999999999,MCC Cre -,Area_um_sq
Basal,0.160832,MCC Cre -,Area_um_sq
Basal,0.1734399999999999,MCC Cre -,Area_um_sq
Basal,0.164928,MCC Cre -,Area_um_sq
Basal,0.1529599999999999,MCC Cre -,Area_um_sq
Basal,0.14387199999999994,MCC Cre -,Area_um_sq
Basal,0.152896,MCC Cre -,Area_um_sq
Basal,0.171904,MCC Cre -,Area_um_sq
Basal,0.20889599999999992,MCC Cre -,Area_um_sq
Basal,0.126976,MCC Cre -,Area_um_sq
Basal,0.17110399999999995,MCC Cre -,Area_um_sq
Basal,0.1210239999999999,MCC Cre -,Area_um_sq
Basal,0.1585919999999999,MCC Cre -,Area_um_sq
Basal,0.181248,MCC Cre -,Area_um_sq
Basal,0.1734399999999999,MCC Cre -,Area_um_sq
Basal,0.217408,MCC Cre -,Area_um_sq
Basal,0.127744,MCC Cre -,Area_um_sq
Basal,0.13888,MCC Cre -,Area_um_sq
Basal,0.160832,MCC Cre -,Area_um_sq
Basal,0.137856,MCC Cre -,Area_um_sq
Basal,0.138752,MCC Cre -,Area_um_sq
Basal,0.17152,MCC Cre -,Area_um_sq
Basal,0.149568,MCC Cre -,Area_um_sq
Basal,0.132096,MCC Cre -,Area_um_sq
Basal,0.15072,MCC Cre -,Area_um_sq
Basal,0.15488,MCC Cre -,Area_um_sq
Basal,0.162816,MCC Cre -,Area_um_sq
Basal,0.177792,MCC Cre -,Area_um_sq
Basal,0.178176,MCC Cre -,Area_um_sq
Basal,0.1376,MCC Cre -,Area_um_sq
Basal,0.203584,MCC Cre -,Area_um_sq
Basal,0.183552,MCC Cre -,Area_um_sq
Basal,0.1245439999999999,MCC Cre -,Area_um_sq
Basal,0.165568,MCC Cre -,Area_um_sq
Basal,0.161984,MCC Cre -,Area_um_sq
Basal,0.16544,MCC Cre -,Area_um_sq
Basal,0.157184,MCC Cre -,Area_um_sq
Basal,0.2480639999999999,MCC Cre -,Area_um_sq
Basal,0.1422719999999999,MCC Cre -,Area_um_sq
Basal,0.153536,MCC Cre -,Area_um_sq
Basal,0.16352,MCC Cre -,Area_um_sq
Basal,0.138368,MCC Cre -,Area_um_sq
Basal,0.152896,MCC Cre -,Area_um_sq
Basal,0.168896,MCC Cre -,Area_um_sq
Basal,0.1429119999999999,MCC Cre -,Area_um_sq
Basal,0.138176,MCC Cre -,Area_um_sq
