MCC Cre -,MCC Cre -,MCC Cre -,MCC Cre +,MCC Cre +,MCC Cre +
Basal,Distal,Proximal,Basal,Distal,Proximal
3.06,3.98,2.03,2.03,3.51,1.28
1.23,2.98,1.95,2.46,4.44,3.19
1.83,5.5,2.96,3.26,3.43,1.86
1.87,5.69,1.72,4.89,5.32,1.82
3.37,6.32,1.0,3.27,5.49,1.49
1.69,4.51,0.8,1.68,5.05,2.06
1.68,2.0,0.7,1.39,6.32,2.23
0.57,4.29,2.51,2.45,6.75,1.73
0.84,3.43,0.85,4.05,5.03,2.6
1.44,5.46,3.51,1.68,4.68,1.77
3.21,5.73,1.58,2.59,4.41,1.14
2.85,4.95,1.49,2.74,4.1,1.32
1.56,2.9,1.76,4.09,4.23,2.43
2.28,3.1,2.27,2.6,3.41,2.19
1.87,3.44,1.91,2.73,1.99,1.45
1.49,4.3,0.94,2.98,9.16,2.58
3.87,5.2,2.43,3.51,4.8,2.92
3.46,7.19,3.37,2.42,5.89,1.83
1.6,5.78,1.63,1.33,4.36,1.72
1.68,2.57,1.32,3.61,4.22,2.03
0.9,3.56,2.72,1.59,4.63,1.79
3.35,2.81,2.72,2.79,2.99,1.01
1.4,2.95,2.8,2.95,4.55,2.66
0.91,2.78,2.82,2.28,3.87,1.3
1.34,1.42,3.19,1.91,4.33,2.0
3.02,4.21,2.63,3.48,4.26,1.07
2.31,3.04,1.01,3.32,3.79,2.62
2.94,5.57,1.84,3.65,6.37,3.61
1.99,4.38,2.37,2.61,4.11,1.51
1.93,3.54,2.76,2.63,5.03,1.53
4.16,4.18,1.72,2.37,5.37,1.63
1.58,5.46,1.26,2.38,3.89,1.28
1.86,1.54,2.25,2.7,4.67,2.13
1.52,3.66,1.14,2.22,5.63,1.36
0.95,5.94,1.98,3.11,2.4,2.27
1.5,4.11,2.29,1.21,6.26,1.78
1.91,4.6,1.61,1.8,4.61,1.68
0.55,3.15,1.92,3.02,12.05,2.13
1.41,6.04,1.14,2.6,4.37,1.43
1.5,1.89,1.32,1.59,3.56,2.69
0.6,7.37,2.06,3.17,4.55,2.42
1.67,2.59,1.78,1.38,3.55,2.0
3.47,3.02,2.62,2.61,2.46,2.3
0.96,5.31,1.8,1.64,5.54,2.73
1.82,6.3,1.17,2.03,3.8,1.16
1.58,4.88,3.94,,3.65,2.73
1.9,3.72,0.67,,3.32,3.05
2.83,3.25,1.84,,2.62,1.59
,6.07,2.24,,3.24,3.6
,4.73,1.8,,4.9,1.93
,5.37,2.16,,3.53,0.95
,4.52,2.66,,3.11,1.93
,2.53,1.54,,2.34,1.91
,2.7,1.01,,5.63,2.46
,3.19,3.86,,3.75,1.5
,4.8,0.99,,3.31,2.24
,4.89,1.66,,4.48,1.55
,4.22,1.56,,4.45,1.9
,7.04,1.62,,4.86,2.8
,4.76,1.55,,4.8,2.14
,4.29,1.7,,4.44,2.51
,2.79,2.25,,4.05,1.74
,5.05,1.43,,6.91,1.44
,5.32,2.01,,6.08,1.85
,3.65,2.16,,4.84,2.56
,5.99,2.5,,3.66,2.62
,5.82,1.49,,5.52,1.9
,5.46,1.95,,5.27,2.37
,7.4,1.73,,5.94,1.45
,4.08,1.85,,5.69,1.82
,6.84,1.86,,4.45,1.45
,4.67,1.05,,4.55,2.24
,3.99,1.94,,3.99,2.63
,5.21,2.81,,5.45,2.37
,5.39,2.08,,7.07,2.68
,3.92,0.85,,5.39,1.62
,3.58,1.43,,5.9,1.72
,3.71,1.83,,5.38,2.5
,6.78,2.25,,4.59,1.88
,5.43,3.32,,6.84,1.44
,4.68,1.34,,5.42,3.27
,6.34,2.04,,4.93,2.5
,3.03,1.6,,7.4,1.75
,6.83,1.77,,6.16,1.93
,5.12,1.4,,5.85,0.72
,4.36,1.49,,4.84,3.31
,3.23,1.74,,3.1,2.46
,,0.89,,3.75,0.87
,,1.9,,5.48,3.21
,,2.04,,4.18,1.1
,,1.09,,3.99,1.52
,,0.46,,5.5,1.42
,,1.28,,4.65,2.8
,,1.39,,4.52,2.65
,,1.59,,4.39,2.43
,,1.25,,4.99,1.17
,,1.24,,4.96,3.64
,,2.73,,4.28,1.79
,,1.28,,3.65,1.12
,,2.28,,2.87,0.93
,,2.08,,3.21,1.07
,,0.99,,2.86,1.92
,,2.02,,2.15,2.41
,,1.3,,2.69,2.58
,,,,2.77,2.25
,,,,2.46,1.21
,,,,,1.63
,,,,,1.99
,,,,,3.02
,,,,,1.73
,,,,,1.85
,,,,,2.02
,,,,,1.91
,,,,,2.54
,,,,,1.71
,,,,,1.73
,,,,,2.73
,,,,,2.52
,,,,,3.11
,,,,,3.87
,,,,,1.37
,,,,,2.31
,,,,,1.69
,,,,,1.48
