MCC Cre +,MCC Cre +,MCC Cre +
Basal,Proximal,Distal
0.13516799999999998,0.393024,0.298112
0.399232,0.083072,0.076096
0.183744,0.18495999999999999,0.18073599999999998
0.305984,0.20128,0.746112
0.177664,0.24281599999999998,0.08492799999999999
0.0896,0.33939199999999997,0.219328
0.135872,0.211328,0.073472
0.33055999999999996,0.02752,0.8752639999999999
0.5832959999999999,0.10585599999999999,0.046079999999999996
0.25504,0.178944,0.14310399999999998
0.154112,0.017344,0.154368
0.08275199999999999,0.10048,0.32761599999999996
0.085696,0.219584,0.382592
0.226176,0.26156799999999997,0.7952
0.039104,0.45536,0.170432
0.109248,0.066496,0.074368
0.484352,0.09824,0.072768
0.30848,0.225792,0.052992
0.4976,0.24371199999999998,0.570816
0.15398399999999998,0.11014399999999999,0.291008
0.085184,0.37651199999999996,0.40384
0.644416,0.195072,0.115392
0.23776,0.06848,0.15136
0.563904,0.055872,0.028992
0.171072,0.12928,0.18867199999999998
0.042688,0.112768,0.575936
0.040768,0.118016,0.327552
0.08358399999999999,0.035199999999999995,0.53216
0.33267199999999997,0.23033599999999999,0.406848
0.121088,0.025727999999999997,0.21023999999999998
0.14291199999999998,0.36191999999999996,0.12544
0.122752,0.125376,0.11379199999999999
0.165312,0.064064,0.271872
0.406976,0.270656,0.22912
0.09235199999999999,0.275264,0.16716799999999998
0.094016,0.5952,0.077888
0.206528,0.141376,0.07353599999999999
0.12128,0.15961599999999998,0.7900159999999999
0.035072,0.06336,0.37657599999999997
0.310592,0.522496,0.21900799999999998
0.26911999999999997,0.091264,0.117952
0.20287999999999998,0.178112,0.22943999999999998
0.080256,0.215936,0.07814399999999999
0.460928,0.181632,0.070912
0.499648,0.34687999999999997,0.102208
0.39500799999999997,0.434112,0.06496
0.09408,0.47353599999999996,0.141952
0.148928,0.198592,0.15628799999999998
0.109248,0.159872,0.06784
0.496832,0.400512,0.077888
0.07897599999999999,0.346112,0.046272
0.060607999999999995,0.042496,0.434496
0.077248,0.265408,0.441152
0.0736,0.41043199999999996,0.039296
0.048832,0.09068799999999999,0.085696
0.38367999999999997,0.27699199999999996,0.477504
0.729856,0.210368,0.28576
0.43795199999999995,0.202176,0.23199999999999998
0.16947199999999998,0.2384,0.23872
0.276928,0.443328,0.192
0.15878399999999998,0.24384,0.29331199999999996
0.24575999999999998,0.11891199999999999,0.5414399999999999
0.49868799999999996,0.056895999999999995,0.278784
0.24428799999999998,0.11827199999999999,0.33177599999999996
0.194624,0.392576,0.064256
0.223936,0.057408,0.19123199999999999
0.51712,0.340736,0.080512
0.07270399999999999,0.25504,0.132992
0.55712,0.219584,0.076544
0.183744,0.111936,0.062208
0.134912,0.43456,0.7232
0.080256,0.097152,0.252672
0.321664,0.15136,0.42272
0.204288,0.037632,0.079104
0.442496,0.17984,0.187136
0.083712,0.07238399999999999,0.19411199999999998
0.341696,0.164352,0.022335999999999998
0.446528,0.177024,0.195072
0.309056,0.147456,0.11379199999999999
0.252288,0.111232,0.14143999999999998
0.233728,0.133376,0.18348799999999998
0.086016,0.363776,0.20332799999999998
0.636544,0.990656,0.104832
0.23782399999999998,0.121984,0.26176
0.152448,0.929472,0.27071999999999996
0.24435199999999999,0.06444799999999999,0.19391999999999998
0.67968,0.11903999999999999,0.300288
0.627072,0.035712,0.046528
0.290112,0.246912,0.068928
0.28665599999999997,0.24051199999999998,0.40287999999999996
0.40608,0.318336,0.079936
0.57312,0.369728,0.29568
0.140544,0.068672,0.298048
0.19097599999999998,0.08524799999999999,0.18048
0.325056,0.068544,0.053312
0.129472,0.337856,0.243328
0.45504,0.34892799999999996,0.21420799999999998
0.31135999999999997,0.08358399999999999,0.09151999999999999
0.42380799999999996,0.220544,0.475008
0.336128,0.19641599999999998,0.25279999999999997
0.177536,0.07564799999999999,0.150528
0.34899199999999997,0.41568,0.29824
0.312512,0.07846399999999999,0.5184
0.137536,0.140224,0.20448
0.09318399999999999,0.069504,0.241024
0.10886399999999999,0.18367999999999998,0.050176
0.11968,0.17088,0.177984
0.568512,0.124928,0.06412799999999999
0.12742399999999998,0.37619199999999997,0.081856
0.201408,0.150464,0.11161599999999999
0.675136,0.45222399999999996,0.536768
0.112256,0.18809599999999999,0.21900799999999998
0.062271999999999994,0.109632,0.12300799999999999
0.327808,0.121152,0.41708799999999996
0.25113599999999997,0.35564799999999996,0.14623999999999998
0.12787199999999999,0.139072,0.079744
0.629184,0.056704,0.11577599999999999
0.47155199999999997,0.32992,0.080192
0.264,0.165184,0.100864
0.321856,0.24371199999999998,0.39878399999999997
0.34483199999999997,0.147392,0.33939199999999997
0.19180799999999998,0.21881599999999998,0.1296
0.311936,0.21523199999999998,0.682048
0.42656,0.061695999999999994,0.12121599999999999
0.223872,0.087424,0.503424
0.16288,0.063104,0.539136
0.275008,0.075264,0.122624
0.36563199999999996,0.39660799999999996,0.20646399999999998
0.11295999999999999,0.153216,0.225792
0.167232,0.165248,0.3664
0.1696,0.16467199999999999,0.102272
0.433984,0.11443199999999999,0.12742399999999998
0.081472,0.12255999999999999,0.296384
0.143168,0.318336,0.055487999999999996
0.5811839999999999,0.098176,0.09824
0.181952,0.28915199999999996,0.076864
0.212608,0.085824,0.824576
0.254272,0.057151999999999994,0.264768
0.075136,0.106624,0.302208
0.059328,0.14784,0.19289599999999998
0.17491199999999998,0.060416,0.07417599999999999
0.11807999999999999,0.1152,0.113344
0.1856,0.175424,0.282816
0.08639999999999999,0.5030399999999999,0.3392
0.022335999999999998,0.09267199999999999,0.061568
0.575232,0.045632,0.452544
0.17638399999999999,0.26662399999999997,0.12435199999999999
0.5113599999999999,0.081152,0.093888
0.1488,0.28384,0.15264
0.11552,0.12556799999999999,0.392576
0.210112,0.089152,0.062592
0.061183999999999995,0.33638399999999996,0.469056
0.062015999999999995,0.085824,0.634112
0.6009599999999999,0.09875199999999999,0.192576
0.20736,0.285888,0.399424
0.29503999999999997,0.1216,0.0944
0.033152,0.217856,0.16550399999999998
0.076096,0.08902399999999999,0.377728
0.133888,0.08275199999999999,0.22675199999999998
0.270208,0.14227199999999998,0.078528
0.246336,0.137792,0.31423999999999996
0.6840959999999999,0.182784,0.074816
0.106112,0.144448,0.204544
0.206848,0.18745599999999998,0.12236799999999999
0.164288,0.089728,0.390656
0.32799999999999996,0.141952,0.074752
0.153856,0.11839999999999999,0.099712
0.28748799999999997,0.161216,0.096832
0.155904,0.38822399999999996,0.15417599999999998
0.304576,0.362432,0.097024
0.192576,0.059008,0.046591999999999995
0.130432,0.269568,0.15456
0.299456,0.24908799999999998,0.22591999999999998
0.088128,0.230016,0.17721599999999998
0.136192,0.105408,0.473856
0.772992,0.10464,0.385408
0.119104,0.33887999999999996,0.717888
0.06675199999999999,0.630336,0.267328
0.312512,0.36275199999999996,0.187072
0.091968,0.450048,0.095232
0.17260799999999998,0.20230399999999998,0.5423359999999999
0.28326399999999996,0.251264,0.459648
0.43558399999999997,0.30886399999999997,0.058303999999999995
0.518272,0.056639999999999996,0.470528
0.6784,0.07103999999999999,0.58816
0.22694399999999998,0.077184,0.08127999999999999
0.144128,0.15456,0.06329599999999999
0.268864,0.087744,0.048768
0.46943999999999997,0.130688,0.106752
0.15398399999999998,0.142784,0.178304
0.077568,0.095168,0.242176
0.072576,0.10457599999999999,0.266048
0.07897599999999999,0.248,0.32992
0.070336,0.196352,0.1424
0.186688,0.134912,1.218624
0.078848,0.065472,0.065792
0.030463999999999998,0.075392,0.474304
0.35424,0.097344,0.178112
0.246528,0.136384,0.244608
0.28703999999999996,0.095936,0.148736
0.47136,0.216832,0.16588799999999998
0.132928,0.07750399999999999,0.252608
0.113728,0.367232,0.12575999999999998
0.06476799999999999,0.457984,0.132288
0.123456,0.48326399999999997,0.217664
0.25574399999999997,0.5285759999999999,0.055872
0.166848,0.08806399999999999,0.6913279999999999
0.7011839999999999,0.44832,0.11839999999999999
0.46854399999999996,0.19648,0.179008
0.465792,0.11968,0.139072
0.265792,0.355904,0.122304
0.069376,0.083136,0.35308799999999996
0.113024,0.154048,0.0496
0.10355199999999999,0.31328,0.052416
0.044607999999999995,0.040895999999999995,0.11424
0.26451199999999997,0.061632,0.311488
0.358784,0.49279999999999996,0.076288
0.200128,0.146368,0.06272
0.20748799999999998,0.059775999999999996,0.53184
0.103936,0.133056,0.5557759999999999
0.301632,0.136192,0.427392
0.142976,0.166592,0.184128
0.094016,0.162432,0.407232
0.090496,0.057215999999999996,0.506304
0.491456,0.18624,0.222464
0.100032,0.5189119999999999,0.082176
0.17804799999999998,0.379648,0.726592
0.058816,0.27411199999999997,0.472064
0.41087999999999997,0.100992,0.392192
0.30912,0.291392,0.9263359999999999
0.11552,0.39206399999999997,0.24556799999999998
0.632,0.028672,0.129216
